county_name,year,month,birth_count
oklahoma,92,6,837
oklahoma,92,7,967
oklahoma,92,8,863
oklahoma,92,9,848
oklahoma,92,10,839
oklahoma,92,11,763
oklahoma,92,12,848
oklahoma,93,1,854
oklahoma,93,2,794
oklahoma,93,3,847
oklahoma,93,4,809
oklahoma,93,5,843
oklahoma,93,6,864
oklahoma,93,7,864
oklahoma,93,8,908
oklahoma,93,9,821
oklahoma,93,10,868
oklahoma,93,11,807
oklahoma,93,12,808
oklahoma,94,1,863
oklahoma,94,2,805
oklahoma,94,3,851
oklahoma,94,4,793
oklahoma,94,5,815
oklahoma,94,6,869
oklahoma,94,7,852
oklahoma,94,8,942
oklahoma,94,9,847
oklahoma,94,10,787
oklahoma,94,11,810
oklahoma,94,12,803
oklahoma,95,1,796
oklahoma,95,2,757
oklahoma,95,3,790
oklahoma,95,4,769
oklahoma,95,5,863
oklahoma,95,6,835
oklahoma,95,7,857
oklahoma,95,8,866
oklahoma,95,9,865
oklahoma,95,10,830
oklahoma,95,11,844
oklahoma,95,12,814
oklahoma,96,1,768
oklahoma,96,2,752
oklahoma,96,3,857
oklahoma,96,4,844
oklahoma,96,5,852
oklahoma,96,6,820
oklahoma,96,7,887
oklahoma,96,8,953
oklahoma,96,9,949
oklahoma,96,10,925
oklahoma,96,11,736
oklahoma,96,12,840
oklahoma,97,1,894
oklahoma,97,2,773
oklahoma,97,3,860
oklahoma,97,4,860
oklahoma,97,5,848
oklahoma,97,6,839
oklahoma,97,7,951
oklahoma,97,8,888
oklahoma,97,9,907
oklahoma,97,10,881
oklahoma,97,11,840
oklahoma,97,12,958
oklahoma,98,1,896
oklahoma,98,2,834
oklahoma,98,3,919
oklahoma,98,4,810
oklahoma,98,5,840
oklahoma,98,6,934
oklahoma,98,7,934
oklahoma,98,8,930
oklahoma,98,9,1000
oklahoma,98,10,918
oklahoma,98,11,851
oklahoma,98,12,922
oklahoma,99,1,827
oklahoma,99,2,808
oklahoma,99,3,870
oklahoma,99,4,878
oklahoma,99,5,866
oklahoma,99,6,897
oklahoma,99,7,981
oklahoma,99,8,958
oklahoma,99,9,968
oklahoma,99,10,942
oklahoma,99,11,852
oklahoma,99,12,893
osage,85,1,42
osage,85,2,60
osage,85,3,56
osage,85,4,47
osage,85,5,44
osage,85,6,53
osage,85,7,62
osage,85,8,60
osage,85,9,56
osage,85,10,54
osage,85,11,50
osage,85,12,55
osage,86,1,52
osage,86,2,44
osage,86,3,41
osage,86,4,48
osage,86,5,40
osage,86,6,48
osage,86,7,69
osage,86,8,47
osage,86,9,48
osage,86,10,44
osage,86,11,44
osage,86,12,40
osage,87,1,48
osage,87,2,27
osage,87,3,35
osage,87,4,43
osage,87,5,39
osage,87,6,44
osage,87,7,44
osage,87,8,42
osage,87,9,41
osage,87,10,44
osage,87,11,36
osage,87,12,42
osage,88,1,52
osage,88,2,38
osage,88,3,34
osage,88,4,36
osage,88,5,37
osage,88,6,44
osage,88,7,43
osage,88,8,46
osage,88,9,51
osage,88,10,31
osage,88,11,37
osage,88,12,39
osage,89,1,35
osage,89,2,38
osage,89,3,42
osage,89,4,47
osage,89,5,36
osage,89,6,31
osage,89,7,46
osage,89,8,47
osage,89,9,39
osage,89,10,45
osage,89,11,43
osage,89,12,32
osage,90,1,37
osage,90,2,33
osage,90,3,43
osage,90,4,41
osage,90,5,45
osage,90,6,51
osage,90,7,43
osage,90,8,36
osage,90,9,55
osage,90,10,49
osage,90,11,31
osage,90,12,42
osage,91,1,41
osage,91,2,34
osage,91,3,41
osage,91,4,32
osage,91,5,42
osage,91,6,30
osage,91,7,42
osage,91,8,45
osage,91,9,44
osage,91,10,41
osage,91,11,40
osage,91,12,32
osage,92,1,41
osage,92,2,27
osage,92,3,39
osage,92,4,47
osage,92,5,41
osage,92,6,34
osage,92,7,43
osage,92,8,36
osage,92,9,46
osage,92,10,45
osage,92,11,40
osage,92,12,31
osage,93,1,34
osage,93,2,38
osage,93,3,32
osage,93,4,34
osage,93,5,32
osage,93,6,40
osage,93,7,34
osage,93,8,41
osage,93,9,49
osage,93,10,43
